SPX Index,,,LYV US Equity,
Date,TOT_RETURN_INDEX_NET_DVDS,,Date,TOT_RETURN_INDEX_NET_DVDS
2/28/2011,2072.6919,,,
3/31/2011,2073.4799,,,
4/29/2011,2134.8307,,,
5/31/2011,2110.6189,,,
6/30/2011,2075.349,,,
7/29/2011,2033.2091,,,
8/31/2011,1922.6022,,,
9/30/2011,1787.5548,,,
10/31/2011,1982.7359,,,
11/30/2011,1978.2761,,,
12/30/2011,1998.4296,,,
1/31/2012,2087.9508,,,
2/29/2012,2178.1811,,,
3/30/2012,2249.6735,,,
4/30/2012,2235.5387,,,
5/31/2012,2101.3067,,,
6/29/2012,2187.78,,,
7/31/2012,2218.134,,,
8/31/2012,2268.0938,,,
9/28/2012,2326.6912,,,
10/31/2012,2283.8019,,,
11/30/2012,2296.9144,,,
12/31/2012,2317.7359,,,
1/31/2013,2437.7278,,,
2/28/2013,2470.805,,,
3/29/2013,2563.43,,,
4/30/2013,2612.7574,,,
5/31/2013,2673.8829,,,
6/28/2013,2638.0011,,,
7/31/2013,2772.1632,,,
8/30/2013,2692.0188,,,
9/30/2013,2776.446,,,
10/31/2013,2903.9346,,,
11/29/2013,2992.3211,,,
12/31/2013,3067.7529,,,
1/31/2014,2961.7593,,,
2/28/2014,3097.012,,,
3/31/2014,3123.0307,,,
4/30/2014,3146.0687,,,
5/30/2014,3219.7513,,,
6/30/2014,3286.2167,,,
7/31/2014,3240.9724,,,
8/29/2014,3370.4396,,,
9/30/2014,3323.2369,,,
10/31/2014,3404.2402,,,
11/28/2014,3495.6648,,,
