SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
5/31/32,4.47,,6/30/99,117.8953,,5/29/92,128.131,,5/31/74,186.0781,,5/31/74,118.25,,5/30/03,77.4571,,5/29/92,222.08,,5/31/83,118.94
6/30/32,4.43,,7/30/99,113.3013,,6/30/92,123.278,,6/28/74,180.8155,,6/28/74,112.52,,6/30/03,80.1471,,6/30/92,225.78,,6/30/83,124.17
7/29/32,6.03,,8/31/99,117.301,,7/31/92,123.39,,7/31/74,170.7899,,7/31/74,106.44,,7/31/03,83.4358,,7/31/92,219.43,,7/29/83,120.43
8/31/32,8.39,,9/30/99,115.6562,,8/31/92,125.873,,8/30/74,154.0255,,8/30/74,95.11,,8/29/03,85.3792,,8/31/92,211.73,,8/31/83,115.6
9/30/32,8.08,,10/29/99,121.9583,,9/30/92,124.525,,9/30/74,152.3491,,9/30/74,87.84,,9/30/03,82.1419,,9/30/92,215.56,,9/30/83,117.43
10/31/32,6.96,,11/30/99,131.872,,10/30/92,121.216,,10/31/74,140.7759,,10/31/74,88.24,,10/31/03,87.7932,,10/30/92,234.48,,10/31/83,109.17
11/30/32,6.55,,12/31/99,150.4508,,11/30/92,122.976,,11/29/74,155.0595,,11/29/74,90.67,,11/28/03,88.7522,,11/30/92,225.58,,11/30/83,114.66
12/30/32,6.92,,1/31/00,144.6784,,12/31/92,123.882,,12/31/74,148.84,,12/31/74,89.35,,12/31/03,91.2975,,12/31/92,218.48,,12/30/83,112.27
1/31/33,6.94,,2/29/00,160.3056,,1/29/93,124.065,,1/31/75,154.6426,,1/31/75,104.9,,1/30/04,93.7804,,1/29/93,225.02,,1/31/84,110.21
2/28/33,5.66,,3/31/00,160.8198,,2/26/93,126.728,,2/28/75,170.2032,,2/28/75,118.32,,2/27/04,96.5186,,2/26/93,237.86,,2/29/84,103.72
3/31/33,5.85,,4/28/00,160.828,,3/31/93,133.75,,3/31/75,177.6365,,3/31/75,116.63,,3/31/04,94.5829,,3/31/93,237.37,,3/30/84,104.1
4/28/33,7.83,,5/31/00,158.4354,,4/30/93,139.54,,4/30/75,177.6267,,4/30/75,121.73,,4/30/04,96.327,,4/30/93,257.74,,4/30/84,103.34
5/31/33,9.64,,6/30/00,157.9799,,5/31/93,142.542,,5/30/75,175.8479,,5/30/75,120.39,,5/31/04,96.202,,5/31/93,272.18,,5/31/84,97.75
6/30/33,10.91,,7/31/00,158.6299,,6/30/93,141.349,,6/30/75,180.875,,6/30/75,115.29,,6/30/04,97.9025,,6/30/93,264.65,,6/29/84,100.3
7/31/33,9.95,,8/31/00,161.2928,,7/30/93,144.013,,7/31/75,171.5572,,7/31/75,110.15,,7/30/04,96.2198,,7/30/93,265.8,,7/31/84,95.25
8/31/33,11.09,,9/29/00,154.2659,,8/31/93,150.583,,8/29/75,164.0549,,8/29/75,109.6,,8/31/04,95.3952,,8/31/93,287.58,,8/31/84,106.21
9/29/33,9.72,,10/31/00,158.4733,,9/30/93,147.797,,9/30/75,155.9221,,9/30/75,104.23,,9/30/04,97.0889,,9/30/93,298.13,,9/28/84,105.17
10/31/33,8.96,,11/30/00,148.6614,,10/29/93,151.915,,10/31/75,171.5891,,10/31/75,112.84,,10/29/04,98.2539,,10/29/93,352.64,,10/31/84,103.07
11/30/33,9.88,,12/29/00,147.1773,,11/30/93,143.762,,11/28/75,173.6063,,11/28/75,115.14,,11/30/04,100.9659,,11/30/93,349.75,,11/30/84,100.11
12/29/33,9.97,,1/31/01,149.4122,,12/31/93,151.279,,12/31/75,176.3758,,12/31/75,117.23,,12/31/04,102.9215,,12/31/93,434.34,,12/31/84,101.49
1/31/34,11.17,,2/28/01,136.2193,,1/31/94,161.054,,1/30/76,186.1429,,1/30/76,123.04,,1/31/05,105.3625,,1/31/94,404.28,,1/31/85,114.77
2/28/34,10.76,,3/30/01,131.01,,2/28/94,158.466,,2/27/76,186.1976,,2/27/76,121.72,,2/28/05,108.6586,,2/28/94,386.48,,2/28/85,117.54
3/30/34,10.62,,4/30/01,141.335,,3/31/94,151.071,,3/31/76,184.1173,,3/31/76,119.29,,3/31/05,108.2109,,3/31/94,344.15,,3/29/85,114.92
4/30/34,10.46,,5/31/01,138.4389,,4/29/94,154.903,,4/30/76,184.8304,,4/30/76,118.37,,4/29/05,106.3578,,4/29/94,356.57,,4/30/85,113.35
5/31/34,9.61,,6/29/01,133.4105,,5/31/94,155.536,,5/31/76,185.9507,,5/31/76,114.8,,5/31/05,111.7281,,5/31/94,369.59,,5/31/85,117.26
6/29/34,9.81,,7/31/01,129.6762,,6/30/94,154.502,,6/30/76,192.9084,,6/30/76,116.35,,6/30/05,115.565,,6/30/94,356.58,,6/28/85,118.38
7/31/34,8.68,,8/31/01,120.262,,7/29/94,157.656,,7/30/76,186.8791,,7/30/76,114.62,,7/29/05,119.3942,,7/29/94,374.65,,7/31/85,121.56
8/31/34,9.15,,9/28/01,104.8256,,8/31/94,162.998,,8/31/76,190.0472,,8/31/76,114.31,,8/31/05,119.7565,,8/31/94,403.99,,8/30/85,120.1
9/28/34,9.08,,10/31/01,110.681,,9/30/94,158.893,,9/30/76,189.76,,9/30/76,111.96,,9/30/05,125.1405,,9/30/94,395.55,,9/30/85,112.65
10/31/34,8.81,,11/30/01,116.8789,,10/31/94,162.678,,10/29/76,183.8033,,10/29/76,104.44,,10/31/05,122.0047,,10/31/94,401.09,,10/31/85,116.73
11/30/34,9.54,,12/31/01,120.841,,11/30/94,155.33,,11/30/76,182.8391,,11/30/76,105.34,,11/30/05,126.0911,,11/30/94,365.17,,11/29/85,124.62
12/31/34,9.5,,1/31/02,118.0045,,12/30/94,155.596,,12/31/76,207.8556,,12/31/76,116.81,,12/30/05,130.4557,,12/30/94,354.5,,12/31/85,129.87
1/31/35,9.1,,2/28/02,116.8266,,1/31/95,152.1693,,1/31/77,198.2339,,1/31/77,115.74,,1/31/06,135.0168,,1/31/95,317.6926,,1/31/86,131.78
2/28/35,8.74,,3/29/02,122.6651,,2/28/95,153.7429,,2/28/77,203.9922,,2/28/77,117.9,,2/28/06,137.6593,,2/28/95,344.2046,,2/28/86,141
3/29/35,8.45,,4/30/02,116.9575,,3/31/95,160.9281,,3/31/77,197.978,,3/31/77,117.88,,3/31/06,141.0357,,3/31/95,343.7184,,3/31/86,147.63
4/30/35,9.28,,5/31/02,112.705,,4/28/95,166.6818,,4/29/77,201.0944,,4/29/77,120.93,,4/28/06,142.687,,4/28/95,339.4234,,4/30/86,149.66
5/31/35,9.58,,6/28/02,103.6026,,5/31/95,168.9227,,5/31/77,199.5747,,5/31/77,120.03,,5/31/06,136.3308,,5/31/95,378.704,,5/30/86,154.61
6/28/35,10.24,,7/31/02,89.5922,,6/30/95,169.0154,,6/30/77,199.0452,,6/30/77,122.31,,6/30/06,137.469,,6/30/95,373.1095,,6/30/86,154.23
7/31/35,11.08,,8/30/02,90.3715,,7/31/95,177.0783,,7/29/77,196.1306,,7/29/77,120.07,,7/31/06,139.8454,,7/31/95,379.8381,,7/31/86,139.65
8/30/35,11.24,,9/30/02,74.5321,,8/31/95,173.1908,,8/31/77,207.0024,,8/31/77,124.96,,8/31/06,143.8376,,8/31/95,362.3469,,8/29/86,143.83
9/30/35,11.59,,10/31/02,83.9801,,9/29/95,178.0407,,9/30/77,206.5767,,9/30/77,128.27,,9/29/06,146.5961,,9/29/95,366.8139,,9/30/86,134.73
10/31/35,12.46,,11/29/02,89.1034,,10/31/95,174.9145,,10/31/77,199.4368,,10/31/77,131.05,,10/31/06,151.7903,,10/31/95,360.4936,,10/31/86,139.95
11/29/35,12.94,,12/31/02,80.47,,11/30/95,180.4088,,11/30/77,195.659,,11/30/77,129.51,,11/30/06,151.4115,,11/30/95,352.7851,,11/28/86,139.26
12/31/35,13.43,,1/31/03,76.1006,,12/29/95,185.7642,,12/30/77,192.817,,12/30/77,133.88,,12/29/06,157.1052,,12/29/95,370.13,,12/31/86,135
1/31/36,14.31,,2/28/03,72.6441,,1/31/96,189.7432,,1/31/78,201.8612,,1/31/78,135.15,,1/31/07,160.3731,,1/31/96,398.7798,,1/30/87,150.48
2/28/36,14.6,,3/31/03,69.5897,,2/29/96,190.4722,,2/28/78,206.8902,,2/28/78,136.25,,2/28/07,157.2054,,2/29/96,402.8168,,2/27/87,162.84
3/31/36,14.92,,4/30/03,79.1867,,3/29/96,193.5468,,3/31/78,217.6322,,3/31/78,145.72,,3/30/07,161.7163,,3/29/96,405.525,,3/31/87,166.79
4/30/36,13.77,,5/30/03,80.4978,,4/30/96,198.2357,,4/28/78,216.8298,,4/28/78,144.2,,4/30/07,168.1357,,4/30/96,420.5452,,4/30/87,161.82
5/29/36,14.4,,6/30/03,83.6657,,5/31/96,198.6647,,5/31/78,217.0261,,5/31/78,146.68,,5/31/07,173.84,,5/31/96,417.1546,,5/29/87,161.02
6/30/36,14.84,,7/31/03,87.5187,,6/28/96,199.8186,,6/30/78,218.2805,,6/30/78,152.82,,6/29/07,173.2546,,6/28/96,410.8652,,6/30/87,164.75
7/31/36,15.85,,8/29/03,89.754,,7/31/96,192.3046,,7/31/78,223.4425,,7/31/78,165.63,,7/31/07,167.3489,,7/31/96,380.3339,,7/31/87,169.27
8/31/36,15.99,,9/30/03,84.8489,,8/30/96,194.6822,,8/31/78,220.0068,,8/31/78,168.49,,8/31/07,166.1945,,8/30/96,391.9391,,8/31/87,174.25
9/30/36,16.01,,10/31/03,91.3194,,9/30/96,201.9305,,9/29/78,223.4243,,9/29/78,173.01,,9/28/07,167.3783,,9/30/96,398.5911,,9/30/87,170.81
10/30/36,17.23,,11/28/03,93.1681,,10/31/96,202.5865,,10/31/78,224.3474,,10/31/78,182.42,,10/31/07,172.2148,,10/31/96,391.1769,,10/30/87,118.26
11/30/36,17.28,,12/31/03,96.4055,,11/29/96,213.3617,,11/30/78,227.7162,,11/30/78,164.95,,11/30/07,164.3352,,11/29/96,410.135,,11/30/87,111.7
12/31/36,17.18,,1/30/04,99.5875,,12/31/96,210.2035,,12/29/78,234.4091,,12/29/78,172.59,,12/31/07,162.1022,,12/31/96,408.5236,,12/31/87,120.42
1/29/37,17.77,,2/27/04,101.4646,,1/31/97,213.5544,,1/31/79,241.2064,,1/31/79,173.11,,1/31/08,143.4481,,1/31/97,417.0758,,1/29/88,125.24
2/26/37,18.06,,3/31/04,98.6101,,2/28/97,216.402,,2/28/79,233.024,,2/28/79,171.8,,2/29/08,142.1899,,2/28/97,420.422,,2/29/88,136.1
3/31/37,17.92,,4/30/04,99.9066,,3/31/97,212.1918,,3/30/79,232.7275,,3/30/79,175.09,,3/31/08,136.8673,,3/31/97,396.3082,,3/31/88,142.15
4/30/37,16.43,,5/31/04,99.6112,,4/30/97,218.9504,,4/30/79,238.1194,,4/30/79,173.86,,4/30/08,145.8298,,4/30/97,390.5123,,4/29/88,145.01
5/31/37,16.26,,6/30/04,102.4552,,5/30/97,232.2229,,5/31/79,239.422,,5/31/79,169.71,,5/30/08,147.1002,,5/30/97,409.0812,,5/31/88,141.37
6/30/37,15.4,,7/30/04,99.5614,,6/30/97,244.2161,,6/29/79,238.193,,6/29/79,172.17,,6/30/08,132.5316,,6/30/97,424.1497,,6/30/88,151.3
7/30/37,16.77,,8/31/04,98.3968,,7/31/97,255.1736,,7/31/79,236.5051,,7/31/79,173.61,,7/31/08,129.9848,,7/31/97,427.5565,,7/29/88,149.89
8/31/37,16.04,,9/30/04,100.6176,,8/29/97,237.3054,,8/31/79,240.5412,,8/31/79,177.22,,8/29/08,132.3383,,8/29/97,351.9041,,8/31/88,145.74
9/30/37,13.76,,10/29/04,103.3401,,9/30/97,250.0003,,9/28/79,248.3784,,9/28/79,184.39,,9/30/08,117.8214,,9/30/97,350.3231,,9/30/88,149.09
10/29/37,12.35,,11/30/04,106.3423,,10/31/97,234.9477,,10/31/79,243.571,,10/31/79,169.09,,10/31/08,102.7847,,10/31/97,272.3459,,10/31/88,147.25
11/30/37,11.11,,12/31/04,109.3421,,11/28/97,238.4899,,11/30/79,244.5962,,11/30/79,170.59,,11/28/08,95.7023,,11/28/97,254.0817,,11/30/88,142.01
12/31/37,10.55,,1/31/05,111.6093,,12/31/97,241.5452,,12/31/79,249.312,,12/31/79,175.72,,12/31/08,91.9532,,12/31/97,244.5041,,12/30/88,147.37
1/31/38,10.69,,2/28/05,114.789,,1/30/98,246.6789,,1/31/80,253.4859,,1/31/80,183.58,,1/30/09,88.7353,,1/30/98,223.0007,,1/31/89,153.84
2/28/38,11.34,,3/31/05,114.4102,,2/27/98,263.5031,,2/29/80,254.6984,,2/29/80,182.17,,2/27/09,80.4893,,2/27/98,270.1071,,2/28/89,154.56
3/31/38,8.5,,4/29/05,110.825,,3/31/98,274.9346,,3/31/80,246.868,,3/31/80,162.17,,3/31/09,82.3597,,3/31/98,265.8851,,3/31/89,157.9
4/29/38,9.78,,5/31/05,117.3717,,4/30/98,277.5038,,4/30/80,254.6014,,4/30/80,176.81,,4/30/09,94.192,,4/30/98,242.6269,,4/28/89,164.68
5/31/38,9.27,,6/30/05,121.7776,,5/29/98,272.5542,,5/30/80,253.2218,,5/30/80,184.34,,5/29/09,99.0841,,5/29/98,205.9123,,5/31/89,171.53
6/30/38,11.56,,7/29/05,127.1711,,6/30/98,277.6215,,6/30/80,255.4642,,6/30/80,195.38,,6/30/09,98.0795,,6/30/98,182.9071,,6/30/89,167.42
7/29/38,12.33,,8/31/05,126.0419,,7/31/98,277.5692,,7/31/80,252.7596,,7/31/80,193.69,,7/31/09,107.2108,,7/31/98,178.0216,,7/31/89,174.5
8/31/38,12.06,,9/30/05,132.0134,,8/31/98,238.691,,8/29/80,259.0601,,8/29/80,199.66,,8/31/09,112.6151,,8/31/98,152.361,,8/31/89,178.2
9/30/38,12.24,,10/31/05,127.6913,,9/30/98,243.4642,,9/30/80,265.3244,,9/30/80,205.89,,9/30/09,115.6945,,9/30/98,167.379,,9/29/89,178.21
10/31/38,13.17,,11/30/05,132.8288,,10/30/98,265.5164,,10/31/80,272.687,,10/31/80,213.83,,10/30/09,113.2899,,10/30/98,203.7871,,10/31/89,167.47
11/30/38,12.73,,12/30/05,138.0579,,11/30/98,281.5998,,11/28/80,269.4659,,11/28/80,208.8,,11/30/09,114.6012,,11/30/98,220.3508,,11/30/89,168.17
12/30/38,13.14,,1/31/06,143.7204,,12/31/98,294.5624,,12/31/80,270.6521,,12/31/80,209.13,,12/31/09,121.7428,,12/31/98,224.7286,,12/29/89,168.3
1/31/39,12.3,,2/28/06,147.7737,,1/29/99,300.3939,,1/30/81,278.624,,1/30/81,205.56,,1/29/10,118.2538,,1/29/99,221.3975,,1/31/90,153.27
2/28/39,12.7,,3/31/06,152.0408,,2/26/99,292.779,,2/27/81,278.3617,,2/27/81,202.17,,2/26/10,118.0456,,2/26/99,216.8228,,2/28/90,157.72
3/31/39,10.98,,4/28/06,152.3894,,3/31/99,306.2321,,3/31/81,297.9857,,3/31/81,208.78,,3/31/10,126.8576,,3/31/99,242.5287,,3/30/90,163.63
4/28/39,10.93,,5/31/06,145.5815,,4/30/99,319.4581,,4/30/81,324.7797,,4/30/81,213.77,,4/30/10,125.7623,,4/30/99,286.8895,,4/30/90,158.09
5/31/39,11.6,,6/30/06,146.4687,,5/31/99,308.7055,,5/29/81,329.0417,,5/29/81,204.12,,5/31/10,119.9212,,5/31/99,281.6542,,5/31/90,168.91
6/30/39,10.86,,7/31/06,148.0103,,6/30/99,324.2357,,6/30/81,343.8775,,6/30/81,204.95,,6/30/10,119.3411,,6/30/99,325.5647,,6/29/90,169.12
7/31/39,12.04,,8/31/06,153.2395,,7/30/99,322.7808,,7/31/81,349.9784,,7/31/81,196.04,,7/30/10,125.2634,,7/30/99,317.995,,7/31/90,161.51
8/31/39,11.18,,9/29/06,157.3679,,8/31/99,322.4771,,8/31/81,348.6874,,8/31/81,200.07,,8/31/10,123.7048,,8/31/99,325.8777,,8/31/90,139.51
9/29/39,12.79,,10/31/06,162.2595,,9/30/99,319.0481,,9/30/81,318.9496,,9/30/81,179.57,,9/30/10,127.8349,,9/30/99,303.0908,,9/28/90,126.74
10/31/39,12.83,,11/30/06,162.9021,,10/29/99,335.035,,10/30/81,318.8241,,10/30/81,181.92,,10/29/10,131.0049,,10/29/99,313.4711,,10/31/90,118.83
11/30/39,12.2,,12/29/06,169.4772,,11/30/99,345.4066,,11/30/81,319.9747,,11/30/81,201.49,,11/30/10,129.3066,,11/30/99,343.554,,11/30/90,127.51
12/29/39,12.46,,1/31/07,173.118,,12/31/99,374.0937,,12/31/81,332.7993,,12/31/81,198.99,,12/31/10,136.0224,,12/31/99,371.3841,,12/31/90,132.2
1/31/40,12.05,,2/28/07,170.4142,,1/31/00,353.7216,,1/29/82,339.443,,1/29/82,197.04,,1/31/11,138.3616,,1/31/00,369.9826,,1/31/91,144.17
2/29/40,12.13,,3/30/07,175.5605,,2/29/00,354.8955,,2/26/82,323.6109,,2/26/82,183.92,,2/28/11,141.9323,,2/29/00,361.9645,,2/28/91,160
3/29/40,12.18,,4/30/07,183.9605,,3/31/00,378.4398,,3/31/82,305.4277,,3/31/82,174.44,,3/31/11,137.0628,,3/31/00,370.368,,3/29/91,171.01
4/30/40,12.19,,5/31/07,191.9674,,4/28/00,361.5473,,4/30/82,314.8551,,4/30/82,185.16,,4/29/11,141.6585,,4/28/00,336.6832,,4/30/91,170.61
5/31/40,9.27,,6/29/07,190.6507,,5/31/00,352.4754,,5/31/82,313.7176,,5/31/82,182.17,,5/31/11,141.6141,,5/31/00,307.8464,,5/31/91,178.34
6/28/40,9.98,,7/31/07,183.7581,,6/30/00,364.4588,,6/30/82,307.0963,,6/30/82,167.97,,6/30/11,137.7668,,6/30/00,324.2279,,6/28/91,167.61
7/31/40,10.29,,8/31/07,182.6238,,7/31/00,353.661,,7/30/82,298.1551,,7/30/82,165.48,,7/29/11,134.3319,,7/31/00,310.087,,7/31/91,172.77
8/30/40,10.5,,9/28/07,185.2658,,8/31/00,364.7704,,8/31/82,303.5116,,8/31/82,165.04,,8/31/11,120.6559,,8/31/00,307.9638,,8/30/91,179.11
9/30/40,10.66,,10/31/07,191.0253,,9/29/00,344.7242,,9/30/82,300.6863,,9/30/82,163.47,,9/30/11,115.2917,,9/29/00,272.6415,,9/30/91,180.15
10/31/40,11.08,,11/30/07,184.6481,,10/31/00,337.8241,,10/29/82,311.5204,,10/29/82,163.65,,10/31/11,124.3271,,10/31/00,251.1536,,10/31/91,184.97
11/29/40,10.57,,12/31/07,183.8205,,11/30/00,316.877,,11/30/82,335.2366,,11/30/82,176.16,,11/30/11,123.0394,,11/30/00,241.5377,,11/29/91,176.37
12/31/40,10.58,,1/31/08,160.188,,12/29/00,322.0532,,12/31/82,347.4027,,12/31/82,189.78,,12/30/11,125.6352,,12/29/00,241.1089,,12/31/91,189.91
1/31/41,10.07,,2/29/08,158.3611,,1/31/01,330.2332,,1/31/83,338.9731,,1/31/83,187.65,,1/31/12,130.4348,,1/31/01,272.7341,,1/31/92,205.16
2/28/41,9.92,,3/31/08,154.1853,,2/28/01,302.5113,,2/28/83,341.5389,,2/28/83,192.35,,2/29/12,135.7719,,2/28/01,259.7338,,2/28/92,211.15
3/31/41,9.96,,4/30/08,163.7566,,3/30/01,282.1875,,3/31/83,356.3014,,3/31/83,199.34,,3/30/12,135.6802,,3/30/01,230.0524,,3/31/92,203.69
4/30/41,9.31,,5/30/08,165.8921,,4/30/01,302.7351,,4/29/83,361.5443,,4/29/83,210.22,,4/30/12,133.4896,,4/30/01,230.439,,4/30/92,196.25
5/30/41,9.38,,6/30/08,146.5863,,5/31/01,299.4175,,5/31/83,364.4302,,5/31/83,208.69,,5/31/12,125.6401,,5/31/01,230.3373,,5/29/92,198.52
6/30/41,9.85,,7/31/08,144.3589,,6/29/01,290.3176,,6/30/83,375.7426,,6/30/83,212.96,,6/29/12,132.1695,,6/29/01,224.9239,,6/30/92,188.64
7/31/41,10.39,,8/29/08,146.1142,,7/31/01,285.7469,,7/29/83,382.4499,,7/29/83,212.98,,7/31/12,137.7237,,7/31/01,216.4695,,7/31/92,194.74
8/29/41,10.28,,9/30/08,129.5592,,8/31/01,272.6567,,8/31/83,385.5036,,8/31/83,209.11,,8/31/12,140.503,,8/31/01,213.1577,,8/31/92,188.79
9/30/41,10.2,,10/31/08,109.1641,,9/28/01,247.7263,,9/30/83,396.6187,,9/30/83,216.75,,9/28/12,141.7713,,9/28/01,179.7196,,9/30/92,192.88
10/31/41,9.5,,11/28/08,102.0114,,10/31/01,253.0153,,10/31/83,391.3986,,10/31/83,216.1,,10/31/12,142.805,,10/31/01,189.4834,,10/30/92,198.89
11/28/41,9.12,,12/31/08,102.2361,,11/30/01,268.5974,,11/30/83,392.4909,,11/30/83,220.76,,11/30/12,145.9839,,11/30/01,214.888,,11/30/92,213.81
12/31/41,8.69,,1/30/09,95.3284,,12/31/01,271.1608,,12/30/83,421.4786,,12/30/83,229.47,,12/31/12,148.0766,,12/31/01,233.4003,,12/31/92,221
1/30/42,8.85,,2/27/09,84.9555,,1/31/02,263.7216,,1/31/84,446.5822,,1/31/84,239.26,,1/31/13,152.2467,,1/31/02,242.6217,,1/29/93,228.08
2/27/42,8.59,,3/31/09,88.3596,,2/28/02,261.7727,,2/29/84,442.3424,,2/29/84,240.95,,2/28/13,153.7558,,2/28/02,244.2151,,2/26/93,222.37
3/31/42,8.01,,4/30/09,102.5878,,3/29/02,273.5826,,3/30/84,500.7922,,3/30/84,263.09,,3/29/13,156.3168,,3/29/02,260.368,,3/31/93,229.2
4/30/42,7.66,,5/29/09,107.7126,,4/30/02,264.9163,,4/30/84,495.8887,,4/30/84,258.24,,4/30/13,158.9155,,4/30/02,263.0627,,4/30/93,222.67
5/29/42,8.15,,6/30/09,105.8758,,5/31/02,265.2812,,5/31/84,443.5053,,5/31/84,231.54,,5/31/13,162.2664,,5/31/02,257.0481,,5/31/93,232.13
6/30/42,8.3,,7/31/09,115.9593,,6/28/02,249.1082,,6/29/84,455.1469,,6/29/84,230.79,,6/28/13,154.0296,,6/28/02,244.3079,,6/30/93,233.35
7/31/42,8.56,,8/31/09,122.4384,,7/31/02,228.2149,,7/31/84,435.8788,,7/31/84,215.55,,7/31/13,161.9716,,7/31/02,235.0011,,7/30/93,236.44
8/31/42,8.62,,9/30/09,127.7827,,8/30/02,228.8168,,8/31/84,467.8676,,8/31/84,233.36,,8/30/13,161.069,,8/30/02,230.8244,,8/31/93,246.14
9/30/42,8.85,,10/30/09,122.1679,,9/30/02,203.7396,,9/28/84,473.3215,,9/28/84,230.86,,9/30/13,168.2173,,9/30/02,205.4278,,9/30/93,252.95
10/30/42,9.36,,11/30/09,124.1674,,10/31/02,218.7324,,10/31/84,496.3139,,10/31/84,236.2,,10/31/13,174.6873,,10/31/02,215.95,,10/29/93,259.18
11/30/42,9.29,,12/31/09,131.2443,,11/29/02,230.6782,,11/30/84,502.2752,,11/30/84,236.66,,11/29/13,176.5105,,11/29/02,227.4284,,11/30/93,250.41
12/31/42,9.77,,1/29/10,125.1083,,12/31/02,219.743,,12/31/84,529.061,,12/31/84,240.99,,12/31/13,178.3422,,12/31/02,214.7678,,12/31/93,258.59
1/29/43,10.44,,2/26/10,122.8273,,1/31/03,213.3217,,1/31/85,534.1132,,1/31/85,245.97,,1/31/14,175.27,,1/31/03,216.5176,,1/31/94,266.52
2/26/43,10.97,,3/31/10,132.5037,,2/28/03,209.6615,,2/28/85,560.2222,,2/28/85,244.1,,2/28/14,183.6728,,2/28/03,206.7832,,2/28/94,265.53
3/31/43,11.58,,4/30/10,129.3762,,3/31/03,208.7719,,3/29/85,574.1243,,3/29/85,262.58,,3/31/14,182.3046,,3/31/03,196.9792,,3/31/94,251.06
4/30/43,11.59,,5/31/10,122.3075,,4/30/03,227.3901,,4/30/85,554.4929,,4/30/85,261.21,,4/30/14,185.8423,,4/30/03,203.2585,,4/29/94,252.55
5/31/43,12.05,,6/30/10,120.9932,,5/30/03,240.6003,,5/31/85,574.0606,,5/31/85,271.83,,5/30/14,190.7722,,5/30/03,220.8822,,5/31/94,249.28
6/30/43,12.35,,7/30/10,128.6067,,6/30/03,245.2219,,6/28/85,591.1764,,6/28/85,278.33,,6/30/14,189.9652,,6/30/03,234.8667,,6/30/94,240.28
7/30/43,11.85,,8/31/10,123.7539,,7/31/03,250.6631,,7/31/85,564.8935,,7/31/85,292.18,,7/31/14,187.1574,,7/31/03,254.7746,,7/29/94,244.06
8/31/43,11.8,,9/30/10,130.3118,,8/29/03,256.6017,,8/30/85,579.7302,,8/30/85,301.04,,8/29/14,190.9298,,8/29/03,274.2718,,8/31/94,257.31
9/30/43,12.08,,10/29/10,135.1405,,9/30/03,258.2533,,9/30/85,584.6929,,9/30/85,318.11,,9/30/14,191.6384,,9/30/03,276.3461,,9/30/94,256.13
10/29/43,11.91,,11/30/10,128.6089,,10/31/03,273.9161,,10/31/85,587.6385,,10/31/85,339.19,,,,,10/31/03,300.0751,,10/31/94,255.03
11/30/43,11.02,,12/31/10,135.4732,,11/28/03,278.0728,,11/29/85,570.5167,,11/29/85,352.53,,,,,11/28/03,296.4251,,11/30/94,244.25
12/31/43,11.67,,1/31/11,141.6673,,12/31/03,295.7652,,12/31/85,600.0729,,12/31/85,368.64,,,,,12/31/03,315.5489,,12/30/94,250.38
1/31/44,11.85,,2/28/11,144.4254,,1/30/04,300.8045,,1/31/86,592.7383,,1/31/86,377.29,,,,,1/30/04,333.8739,,1/31/95,246.9008
2/29/44,11.82,,3/31/11,140.6611,,2/27/04,306.3335,,2/28/86,618.3093,,2/28/86,418.45,,,,,2/27/04,344.7867,,2/28/95,256.9637
3/31/44,12.02,,4/29/11,145.9788,,3/31/04,304.6993,,3/31/86,741.7655,,3/31/86,476.65,,,,,3/31/04,338.7404,,3/31/95,261.6027
4/28/44,11.87,,5/31/11,143.1597,,4/30/04,297.7506,,4/30/86,725.68,,4/30/86,507.17,,,,,4/30/04,320.1493,,4/28/95,267.2322
5/31/44,12.35,,6/30/11,141.9364,,5/31/04,300.2238,,5/30/86,748.825,,5/30/86,483.95,,,,,5/31/04,309.4546,,5/31/95,271.7596
6/30/44,12.98,,7/29/11,134.0035,,6/30/04,306.2965,,6/30/86,775.5938,,6/30/86,516.25,,,,,6/30/04,307.1793,,6/30/95,285.5902
7/31/44,12.71,,8/31/11,116.6358,,7/30/04,296.5698,,7/31/86,823.6035,,7/31/86,547.36,,,,,7/30/04,300.9075,,7/31/95,302.0372
8/31/44,12.82,,9/30/11,109.931,,8/31/04,298.4898,,8/29/86,901.2571,,8/29/86,600.59,,,,,8/31/04,315.5023,,8/31/95,308.0958
9/29/44,12.74,,10/31/11,119.3645,,9/30/04,304.8022,,9/30/86,923.0024,,9/30/86,593.68,,,,,9/30/04,327.6599,,9/29/95,313.6417
10/31/44,12.78,,11/30/11,116.5432,,10/29/04,312.3277,,10/31/86,847.884,,10/31/86,553.31,,,,,10/29/04,329.7715,,10/31/95,299.6394
11/30/44,12.83,,12/30/11,116.2355,,11/30/04,329.9333,,11/28/86,893.9968,,11/28/86,584.56,,,,,11/30/04,359.0544,,11/30/95,312.534
12/29/44,13.28,,1/31/12,122.5114,,12/31/04,342.8848,,12/31/86,946.4928,,12/31/86,614.89,,,,,12/31/04,372.1955,,12/29/95,320.5162
