SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
10/31/68,103.41,,,,,,,,10/29/10,612.3129,,10/29/10,2380.2576,,,,,,,,,
11/29/68,108.37,,,,,,,,11/30/10,650.0753,,11/30/10,2266.3868,,,,,,,,,
12/31/68,103.86,,,,,,,,12/31/10,677.4479,,12/31/10,2450.2205,,,,,,,,,
1/31/69,103.01,,,,,,,,1/31/11,685.1763,,1/31/11,2508.2228,,,,,,,,,
2/28/69,98.13,,,,,,,,2/28/11,716.4142,,2/28/11,2592.0573,,,,,,,,,
3/31/69,101.51,,,,,,,,3/31/11,658.6755,,3/31/11,2535.1817,,,,,,,,,
4/30/69,103.69,,,,,,,,4/29/11,647.1674,,4/29/11,2687.4209,,,,,,,,,
5/30/69,103.46,,,,,,,,5/31/11,637.262,,5/31/11,2611.009,,,,,,,,,
6/30/69,97.71,,,,,,,,6/30/11,643.036,,6/30/11,2579.0053,,,,,,,,,
7/31/69,91.83,,,,,,,,7/29/11,636.1676,,7/29/11,2538.4628,,,,,,,,,
8/29/69,95.51,,,,,,,,8/31/11,579.0219,,8/31/11,2309.5605,,,,,,,,,
9/30/69,93.12,,,,,,,,9/30/11,574.8142,,9/30/11,2090.7372,,,,,,,,,
10/31/69,97.24,,,,,,,,10/31/11,580.0271,,10/31/11,2292.2408,,,,,,,,,
11/28/69,93.81,,,,,,,,11/30/11,551.5827,,11/30/11,2181.2577,,,,,,,,,
12/31/69,92.06,,,,,,,,12/30/11,551.2638,,12/30/11,2160.8692,,,,,,,,,
1/30/70,85.02,,,,,,,,1/31/12,571.019,,1/31/12,2276.3046,,,,,,,,,
2/27/70,89.5,,,,,,,,2/29/12,636.7284,,2/29/12,2407.5077,,,,,,,,,
3/31/70,89.63,,,,,,,,3/30/12,656.85,,3/30/12,2397.8859,,,,,,,,,
4/30/70,81.52,,,,,,,,4/30/12,616.9209,,4/30/12,2352.0659,,,,,,,,,
5/29/70,76.55,,,,,,,,5/31/12,551.604,,5/31/12,2085.2373,,,,,,,,,
